Timestamp,Residents,Apartment_Type,Temperature,Humidity,Water_Price,Period_Consumption_Index,Income_Level,Guests,Amenities,Appliance_Usage,Water_Consumption
13/01/2002 16,3,Detached,16.53,48.87,2.32,1.43,Rich,1,None,0.0,249.25
14/01/2002 00,4,3BHK,20.68,51.72,2.14,0.88,Upper Middle,0,Garden,0.0,137.08
14/01/2002 08,3,1BHK,20.65,43.42,1.56,0.92,Low,-1,Garden,0.0,89.85
14/01/2002 16,3,Cottage,11.33,43.03,1.08,1.13,Middle,1,Fountain,0.0,132.7
15/01/2002 00,3,1BHK,32.08,57.74,-22.0,1.07,Middle,0,Swimming Pool,0.0,146.32
15/01/2002 08,4,Bungalow,11.12,35.54,2.18,0.14462008711282448,Upper Middle,0,None,0.0,112.7
15/01/2002 16,3,1BHK,32.88,55.81,1.71,1.43,Middle,1,None,1.0,206.36
16/01/2002 00,1,Studio,25.63,59.3,1.42,1.05,,0,None,1.0,60.88
16/01/2002 08,3,Cottage,12.7,59.92,1.22,1.18,Middle,1,Jacuzzi,0.0,155.42
16/01/2002 16,3,2BHK,20.55,59.49,2.99,1.16,Upper Middle,0,None,0.0,121.11
17/01/2002 00,5,2BHK,26.28,57.79,1.63,0.82,Middle,0,None,0.0,120.55
17/01/2002 08,-66,Bungalow,10.18,48.38,2.93,1.36,Upper Middle,0,Jacuzzi,0.0,175.97
17/01/2002 16,2,Cottage,19.89,59.13,1.17,1.28,Middle,1,Garden,0.0,124.49
18/01/2002 00,2,1BHK,19.21,49.78,1.35,1.47,Low,0,None,0.0,107.52
18/01/2002 08,3,2BHK,30.54,63.21,1.59,1.07,Middle,1,None,0.0,138.51
18/01/2002 16,-99,Bungalow,30.79,42.0,1.72,1.33,Upper Middle,0,Swimming Pool,0.0,319.47
19/01/2002 00,4,Bungalow,,54.11,1.55,0.88,Upper Middle,0,Swimming Pool,0.0,169.06
19/01/2002 08,2,Cottage,30.27,53.5,1.77,0.92,Middle,0,Fountain,0.0,93.7
19/01/2002 16,3,1BHK,26.01,66.5,1.08,1.34,Low,0,None,0.0,113.9
20/01/2002 00,2,1BHK,26.41,64.14,1.46,0.86,Middle,0,Jacuzzi,1.0,95.31
20/01/2002 08,3,Cottage,30.8,53.31,-33.0,0.87,Middle,1,None,0.0,108.87
20/01/2002 16,3,,29.18,50.13,1.27,0.99,Middle,1,Swimming Pool,0.0,166.32
21/01/2002 00,3,3BHK,10.56,70.2,1.7,1.23,Rich,0,Jacuzzi,0.0,186.8
21/01/2002 08,4,3BHK,33.68,57.41,1.89,1.43,Upper Middle,0,None,1.0,262.97
21/01/2002 16,1,Studio,23.88,59.25,1.31,1.39,Low,0,Jacuzzi,0.0,86.6
22/01/2002 00,4,3BHK,20.81,43.28,2.36,1.1,Upper Middle,1,None,0.0,205.98
22/01/2002 08,4,2BHK,14.04,68.29,1.24,1.21,Middle,1,None,0.0,158.16
22/01/2002 16,5,Bungalow,25.81,43.61,2.98,1.01,Upper Middle,0,Swimming Pool,0.0,217.59
23/01/2002 00,3,Bungalow,31.45,34.76,2.09,1.04,Upper Middle,0,None,0.0,145.26
23/01/2002 08,2,Cottage,26.37,38.41,1.19,0.98,Middle,1,Garden,0.0,115.33
23/01/2002 16,3,1BHK,17.25,47.55,1.14,1.12,Low,1,None,1.0,139.18
24/01/2002 00,2,Studio,24.49,SX*5i,1.25,0.91,Low,0,None,0.0,60.54
24/01/2002 08,4,,24.11,68.54,1.29,1.49,Middle,1,None,0.0,210.26
24/01/2002 16,3,Cottage,19.55,65.54,1.01,0.86,Middle,1,Garden,1.0,113.09
25/01/2002 00,5,Bungalow,25.72,41.85,2.86,0.96,Upper Middle,1,None,0.0,193.5
25/01/2002 08,3,1BHK,13.02,45.07,1.13,1.15,Middle,0,None,1.0,129.7
25/01/2002 16,4,2BHK,32.29,47.9,1.55,1.47,Upper Middle,0,Jacuzzi,0.0,289.16
26/01/2002 00,2,1BHK,12.09,42.17,1.32,1.29,]b0./,0,None,0.0,103.46
26/01/2002 08,5,2BHK,34.66,41.13,1.44,1.32,Middle,1,Jacuzzi,1.0,401.61
26/01/2002 16,5,2BHK,28.23,43.34,2.46,1.08,Upper Middle,1,None,0.0,225.21
27/01/2002 00,2,Studio,16.96,22.72,1.6,1.48,Low,0,None,1.0,127.57
27/01/2002 08,3,Cottage,27.87,34.55,1.53,1.1,Middle,0,None,0.0,128.15
27/01/2002 16,5,2BHK,13.18,57.18,1.74,1.16,Middle,1,None,0.0,183.88
28/01/2002 00,2,1BHK,29.56,61.2,1.7,1.09,Middle,0,None,0.0,86.94
28/01/2002 08,5,2BHK,27.79,48.24,1.31,1.0,Middle,0,Jacuzzi,0.0,201.21
28/01/2002 16,2,Studio,18.18,62.24,1.79,1.49,Low,1,Swimming Pool,0.0,135.52
29/01/2002 00,4,Detached,29.11,55.95,2.35,1.23,Rich,0,Swimming Pool,,287.81
29/01/2002 08,4,2BHK,19.47,52.26,1.54,1.1,Middle,1,None,0.0,165.71
29/01/2002 16,3,1BHK,15.65,gPK<_,1.79,1.1,Low,1,Swimming Pool,0.0,132.01
30/01/2002 00,3,1BHK,19.01,65.05,1.43,1.34,Middle,0,None,0.0,118.51
30/01/2002 08,5,3BHK,21.69,61.77,2.95,1.18,Upper Middle,0,Fountain,0.0,218.18
30/01/2002 16,2,Cottage,20.42,56.2,1.38,1.09,Middle,1,None,0.0,102.18
31/01/2002 00,2,1BHK,13.52,53.96,1.59,1.27,Middle,0,Jacuzzi,,135.37
31/01/2002 08,3,3BHK,26.44,39.96,2.44,1.28,Upper Middle,0,Jacuzzi,1.0,257.05
31/01/2002 16,4,3BHK,26.93,Cj&)z,2.4,1.11,Upper Middle,0,None,0.0,175.84
01/02/2002 00,5,2BHK,14.94,50.36,1.6,1.22,Middle,0,Fountain,1.0,237.92
01/02/2002 08,3,3BHK,24.09,37.81,1.5,1.17,Upper Middle,0,None,0.0,170.96
01/02/2002 16,4,2BHK,24.35,53.45,1.57,0.91,Middle,1,None,1.0,162.38
02/02/2002 00,2,Studio,10.05,47.93,1.34,1.31,Low,1,None,0.0,96.77
02/02/2002 08,3,1BHK,15.63,43.24,1.59,0.94,yYuZN,0,None,1.0,96.75
02/02/2002 16,4,Bungalow,17.7,63.72,2.31,1.45,Upper Middle,1,Jacuzzi,0.0,263.95
03/02/2002 00,5,Bungalow,33.76,57.33,2.53,0.83,Upper Middle,0,None,0.0,135.67
03/02/2002 08,3,1BHK,,48.16,1.75,1.38,Middle,0,None,0.0,145.27
03/02/2002 16,5,Detached,22.54,68.3,2.25,1.1,Rich,0,Fountain,0.0,239.52
04/02/2002 00,1,Studio,22.9,53.07,1.22,0.9,Low,1,None,0.0,56.11
04/02/2002 08,3,1BHK,26.18,58.02,1.47,1.48,Middle,0,None,0.0,146.04
04/02/2002 16,3,Cottage,32.03,55.57,1.17,1.19,Middle,0,Fountain,0.0,152.19
05/02/2002 00,2,1BHK,10.52,50.27,1.47,1.04,Middle,1,Jacuzzi,0.0,115.83
05/02/2002 08,4,3BHK,16.82,55.53,2.06,0.96,Upper Middle,0,None,1.0,155.27
05/02/2002 16,4,Detached,34.55,54.37,2.87,1.34,Rich,0,Swimming Pool,1.0,371.76
06/02/2002 00,2,1BHK,28.17,61.07,1.09,0.98,Low,0,Swimming Pool,0.0,94.22
06/02/2002 08,3,Cottage,31.23,57.07,1.32,1.46,Middle,1,None,0.0,181.84
06/02/2002 16,1,Studio,11.71,55.76,1.01,1.06,Low,0,None,0.0,49.77
07/02/2002 00,2,1BHK,28.43,47.8,1.73,1.09,Low,0,None,1.0,98.35
07/02/2002 08,4,Detached,,49.47,1.82,1.28,Rich,1,Jacuzzi,1.0,417.21
07/02/2002 16,5,2BHK,23.4,70.21,1.54,1.25,Middle,1,Garden,0.0,208.2
08/02/2002 00,3,Detached,16.6,42.93,-88.0,1.19,Rich,0,Swimming Pool,0.0,230.53
08/02/2002 08,3,Cottage,13.99,55.85,1.77,0.89,"_""J7?",1,Garden,1.0,114.42
08/02/2002 16,3,3BHK,14.53,61.52,2.31,0.95,Rich,0,Garden,0.0,130.76
09/02/2002 00,1,Studio,17.42,53.11,1.67,0.89,Low,1,None,0.0,51.56
09/02/2002 08,5,3BHK,20.78,76.94,1.8,1.45,Rich,0,None,0.0,247.84
09/02/2002 16,4,3BHK,,54.87,1.88,1.22,Upper Middle,0,Swimming Pool,0.0,216.21
10/02/2002 00,3,Bungalow,16.96,65.81,1.75,0.94,Upper Middle,0,None,0.0,96.92
10/02/2002 08,2,1BHK,24.56,64.9,1.75,1.19,Low,1,Garden,0.0,100.84
10/02/2002 16,2,1BHK,34.04,49.39,1.01,1.46,Middle,1,None,0.0,163.18
11/02/2002 00,5,3BHK,25.35,55.07,2.27,1.42,Upper Middle,1,Fountain,0.0,353.19
11/02/2002 08,2,Studio,33.42,36.8,1.04,0.81,Low,0,None,0.0,66.02
11/02/2002 16,5,2BHK,26.65,59.82,1.25,0.85,Middle,0,Swimming Pool,0.0,164.11
12/02/2002 00,3,3BHK,17.94,64.31,2.86,1.49,Upper Middle,1,None,1.0,222.01
12/02/2002 08,5,Bungalow,,62.65,1.87,0.9,Upper Middle,1,Swimming Pool,0.0,199.61
12/02/2002 16,3,1BHK,22.84,54.31,1.21,0.92,Middle,1,Swimming Pool,0.0,142.98
13/02/2002 00,3,Bungalow,13.21,51.31,2.52,0.92,Upper Middle,0,None,0.0,97.49
13/02/2002 08,5,3BHK,32.62,36.98,2.59,0.95,Upper Middle,0,Swimming Pool,1.0,288.23
13/02/2002 16,4,2BHK,31.88,65.92,2.06,1.28,Upper Middle,0,Jacuzzi,0.0,215.49
14/02/2002 00,2,Studio,28.2,49.5,1.36,1.32,Low,0,None,0.0,93.8
14/02/2002 08,4,Bungalow,13.81,51.65,2.67,1.08,Upper Middle,0,None,1.0,155.58
14/02/2002 16,3,Bungalow,33.58,50.6,2.38,1.03,Upper Middle,1,Jacuzzi,0.0,196.14
15/02/2002 00,4,2BHK,20.94,50.03,1.49,1.05,Middle,0,None,0.0,136.04
15/02/2002 08,1,Studio,27.4,47.14,1.6,1.17,Low,0,None,0.0,64.31
15/02/2002 16,2,1BHK,15.31,57.31,1.5,1.39,Middle,1,None,0.0,123.18
16/02/2002 00,4,3BHK,28.48,49.33,1.69,0.92,Upper Middle,0,None,0.0,150.55
16/02/2002 08,2,1BHK,11.7,62.26,1.05,1.42,,0,Swimming Pool,0.0,130.75
16/02/2002 16,2,Cottage,26.08,43.69,1.23,1.14,Middle,0,None,0.0,102.48
17/02/2002 00,5,3BHK,34.34,u~]<f,2.49,1.41,Upper Middle,0,Jacuzzi,0.0,344.36
17/02/2002 08,4,2BHK,33.78,38.86,1.23,1.04,Middle,1,None,0.0,195.38
17/02/2002 16,2,1BHK,22.46,44.4,1.4,1.48,Low,0,None,0.0,115.13
18/02/2002 00,1,Studio,27.19,55.02,1.74,1.25,Low,0,Garden,0.0,67.97
18/02/2002 08,1,Studio,23.11,54.58,1.14,1.46,Low,0,None,,75.32
18/02/2002 16,3,2BHK,21.47,55.93,1.74,1.39,Upper Middle,0,Fountain,0.0,191.3
19/02/2002 00,1,Studio,22.44,51.16,1.7,1.27,Low,1,Garden,0.0,81.65
19/02/2002 08,5,2BHK,30.0,54.72,1.99,1.17,Upper Middle,0,Jacuzzi,0.0,244.57
19/02/2002 16,2,1BHK,18.83,67.28,1.77,1.08,Low,0,None,1.0,78.18
20/02/2002 00,2,Cottage,10.6,61.77,1.48,1.39,Middle,1,Garden,0.0,120.69
20/02/2002 08,5,Bungalow,30.46,35.32,2.08,0.92,Upper Middle,1,Garden,1.0,251.24
20/02/2002 16,3,2BHK,29.13,38.34,1.51,1.18,Middle,1,Swimming Pool,0.0,231.48
21/02/2002 00,4,Bungalow,28.3,54.67,2.12,1.29,Rich,0,Swimming Pool,0.0,282.01
21/02/2002 08,4,2BHK,15.68,56.84,1.22,0.83,Middle,0,None,0.0,99.58
21/02/2002 16,3,2BHK,33.64,68.09,1.23,0.89,Middle,-1,Fountain,0.0,115.97
22/02/2002 00,3,Cottage,15.62,70.05,-66.0,1.21,Middle,0,Jacuzzi,0.0,123.7
22/02/2002 08,5,Bungalow,13.64,56.44,2.39,1.2,Upper Middle,0,None,0.0,170.1
22/02/2002 16,2,1BHK,28.37,58.29,-88.0,1.02,Middle,1,Jacuzzi,1.0,147.41
23/02/2002 00,4,Bungalow,15.18,34.49,1.6,1.34,Rich,0,None,0.0,235.66
23/02/2002 08,5,2BHK,26.5,62.3,2.34,1.16,Upper Middle,0,Swimming Pool,0.0,227.54
23/02/2002 16,5,2BHK,11.53,60.22,1.01,1.36,Middle,0,Garden,1.0,217.05
24/02/2002 00,2,1BHK,12.74,48.47,1.02,1.16,Low,0,Jacuzzi,0.0,102.98
24/02/2002 08,3,Bungalow,13.06,68.17,2.84,1.21,Upper Middle,0,Swimming Pool,0.0,145.25
24/02/2002 16,5,Bungalow,15.06,71.56,2.59,0.84,Upper Middle,0,Fountain,1.0,146.3
25/02/2002 00,2,1BHK,14.59,50.75,1.52,1.5,Low,0,Garden,0.0,108.88
25/02/2002 08,5,2BHK,31.21,41.68,1.48,1.0,Middle,1,Garden,1.0,248.45
25/02/2002 16,3,Cottage,28.13,59.68,1.02,1.11,Middle,0,Garden,0.0,118.3
26/02/2002 00,2,Cottage,34.84,38.84,1.03,1.06,6@}4l,1,None,1.0,147.03
26/02/2002 08,3,2BHK,30.22,53.21,1.97,1.22,Upper Middle,0,Fountain,0.0,181.83
26/02/2002 16,2,Cottage,18.21,59.45,1.64,0.93,Middle,1,Fountain,0.0,99.29
27/02/2002 00,2,1BHK,21.86,51.41,1.1,1.19,Middle,0,None,0.0,99.11
27/02/2002 08,5,3BHK,18.82,50.99,2.45,1.11,Upper Middle,1,Fountain,0.0,223.07
27/02/2002 16,4,Bungalow,19.91,44.51,2.54,1.23,Rich,1,Swimming Pool,0.0,316.06
28/02/2002 00,4,2BHK,15.25,49.5,1.05,1.17,Middle,0,None,1.0,170.35
28/02/2002 08,2,Cottage,25.92,45.53,1.41,0.86,Middle,0,None,0.0,75.38
28/02/2002 16,2,,31.7,55.47,1.38,0.96,Middle,0,None,0.0,82.51
01/03/2002 00,3,1BHK,21.1,54.46,1.23,1.43,o0&[1,0,None,0.0,140.27
01/03/2002 08,3,1BHK,29.99,55.1,1.47,1.01,Middle,0,Garden,1.0,126.07
01/03/2002 16,5,2BHK,10.77,53.38,1.22,0.97,Middle,0,Jacuzzi,0.0,165.3
02/03/2002 00,4,3BHK,23.35,55.54,2.37,1.1,Rich,1,Jacuzzi,0.0,285.8
02/03/2002 08,3,1BHK,29.73,46.61,1.0,1.41,Low,0,None,0.0,141.99
02/03/2002 16,4,2BHK,27.98,55.59,1.03,0.87,Middle,0,Jacuzzi,0.0,146.73
03/03/2002 00,3,1BHK,31.53,65.31,1.61,0.89,Low,0,None,0.0,77.97
03/03/2002 08,2,1BHK,16.54,66.43,1.38,1.19,Middle,0,None,0.0,83.91
03/03/2002 16,1,Studio,26.16,63.47,1.15,0.96,Low,0,None,0.0,47.88
04/03/2002 00,4,2BHK,26.07,63.54,1.27,1.24,Middle,0,Fountain,0.0,185.48
04/03/2002 08,3,1BHK,13.77,55.77,1.52,0.84,Middle,1,Jacuzzi,1.0,130.38
04/03/2002 16,3,Cottage,14.35,51.58,1.79,0.82,Middle,0,None,0.0,75.43
05/03/2002 00,3,3BHK,25.16,50.79,2.86,1.11,Upper Middle,0,Jacuzzi,0.0,175.71
05/03/2002 08,5,2BHK,13.4,62.1,2.58,1.38,Upper Middle,0,Garden,0.0,195.04
05/03/2002 16,2,1BHK,18.94,36.51,1.32,1.21,Middle,1,Swimming Pool,0.0,167.29
06/03/2002 00,2,1BHK,28.74,62.34,1.12,0.95,Middle,1,None,0.0,92.98
06/03/2002 08,2,Studio,18.28,58.56,1.09,1.14,Low,0,Garden,0.0,74.23
06/03/2002 16,5,2BHK,19.44,53.46,1.03,1.46,Middle,0,None,0.0,216.02
07/03/2002 00,4,2BHK,34.38,58.74,1.0,1.48,Middle,0,Garden,1.0,248.92
07/03/2002 08,3,3BHK,16.61,56.61,2.03,0.87,bkE27,0,Swimming Pool,0.0,133.51
07/03/2002 16,-99,1BHK,19.12,62.0,1.6,1.0,Low,0,Swimming Pool,0.0,86.04
08/03/2002 00,4,Bungalow,22.91,%<q!x,2.68,1.27,Upper Middle,0,Swimming Pool,0.0,223.88
08/03/2002 08,2,1BHK,21.16,72.05,1.75,1.16,Middle,0,None,0.0,79.75
08/03/2002 16,4,2BHK,14.96,64.11,1.72,1.33,Middle,0,None,1.0,169.32
09/03/2002 00,5,2BHK,32.47,64.34,2.15,1.29,Upper Middle,0,Swimming Pool,1.0,304.99
09/03/2002 08,3,Cottage,13.82,70.97,1.43,0.37789447433444845,Middle,0,Swimming Pool,0.0,112.67
09/03/2002 16,5,,20.56,55.21,2.87,1.18,Upper Middle,1,Fountain,0.0,272.49
10/03/2002 00,1,Studio,20.93,40.62,1.68,1.46,Low,0,Fountain,0.0,94.76
10/03/2002 08,2,Cottage,12.88,73.57,1.2,1.0,{]ji&,1,Swimming Pool,1.0,117.2
10/03/2002 16,3,2BHK,22.36,50.64,2.39,1.0,Upper Middle,0,Garden,0.0,122.04
11/03/2002 00,3,Cottage,13.38,60.34,1.71,1.33,q{Tz7,0,None,0.0,114.95
11/03/2002 08,5,2BHK,11.5,72.32,1.51,0.97,Middle,0,None,0.0,113.92
11/03/2002 16,2,Cottage,,45.67,1.72,1.32,Middle,0,Fountain,0.0,143.97
12/03/2002 00,4,2BHK,19.67,40.14,2.18,1.14,Upper Middle,0,None,0.0,165.85
12/03/2002 08,-88,1BHK,26.91,68.6,1.24,1.41,Middle,1,None,1.0,147.66
12/03/2002 16,2,1BHK,34.05,54.16,1.04,1.02,Middle,1,None,0.0,109.98
13/03/2002 00,2,1BHK,10.88,42.77,1.19,1.9101043833335756,Middle,0,Garden,0.0,107.54
13/03/2002 08,3,3BHK,28.09,50.17,1.64,1.09,Rich,1,Swimming Pool,0.0,277.65
13/03/2002 16,1,Studio,33.76,31.24,-66.0,1.27,Low,0,None,1.0,92.85
14/03/2002 00,5,2BHK,30.87,47.77,1.65,1.11,Middle,1,None,0.0,217.51
14/03/2002 08,2,1BHK,23.12,63.18,1.47,1.35,Middle,0,None,0.0,102.57
14/03/2002 16,2,Cottage,28.48,52.53,1.09,0.81,Middle,0,None,1.0,81.33
15/03/2002 00,4,3BHK,,64.57,2.95,0.95,Upper Middle,0,Swimming Pool,0.0,153.14
15/03/2002 08,3,1BHK,26.4,49.39,1.55,1.21,Middle,1,Swimming Pool,0.0,197.4
15/03/2002 16,3,Bungalow,25.89,36.18,1.95,1.46,Rich,1,None,1.0,320.18
16/03/2002 00,4,Bungalow,20.92,52.25,1.96,1.26,Upper Middle,0,Garden,0.0,181.12
16/03/2002 08,3,1BHK,29.57,50.53,1.26,1.31,Middle,1,None,0.0,169.03
16/03/2002 16,2,Cottage,19.19,52.03,1.5,1.21,Middle,0,None,0.0,95.91
17/03/2002 00,1,Studio,10.89,68.25,1.24,1.26,Low,0,Garden,0.0,55.72
17/03/2002 08,4,3BHK,20.81,60.59,1.75,1.36,Rich,0,Fountain,1.0,317.33
17/03/2002 16,2,Studio,32.0,63.39,1.17,0.91,Low,1,Garden,1.0,88.17
18/03/2002 00,3,3BHK,28.21,25.52,2.1,1.46,Upper Middle,0,None,0.0,229.9
18/03/2002 08,2,Cottage,23.59,64.35,1.76,1.16,Middle,0,Fountain,0.0,103.98
18/03/2002 16,5,3BHK,17.05,45.5,1.52,0.98,Upper Middle,0,Swimming Pool,1.0,260.93
19/03/2002 00,1,Studio,18.57,65.12,1.74,1.24,Low,1,None,0.0,66.66
19/03/2002 08,4,Bungalow,31.81,45.55,2.17,1.46,Rich,0,Swimming Pool,0.0,347.47
19/03/2002 16,4,Detached,34.15,47.39,2.13,1.03,Rich,0,Swimming Pool,0.0,269.72
20/03/2002 00,5,Bungalow,16.36,48.08,1.58,1.18,Upper Middle,0,Jacuzzi,0.0,234.84
20/03/2002 08,5,Bungalow,17.2,44.7,2.45,0.99,Rich,1,Swimming Pool,0.0,288.31
20/03/2002 16,2,Studio,28.34,48.77,1.73,1.42,Low,1,None,0.0,119.47
21/03/2002 00,1,Studio,11.56,65.08,1.62,1.16,Low,0,Garden,0.0,51.86
21/03/2002 08,5,3BHK,19.78,61.3,2.01,1.24,Rich,1,Swimming Pool,0.0,367.19
21/03/2002 16,3,1BHK,10.82,36.46,1.57,1.23,Middle,0,None,0.0,121.72
22/03/2002 00,3,3BHK,27.16,47.16,1.89,1.17,Upper Middle,0,Garden,0.0,170.62
22/03/2002 08,5,2BHK,22.45,62.93,1.76,0.94,Upper Middle,0,Garden,0.0,149.05
22/03/2002 16,3,3BHK,28.65,52.56,2.33,1.33,Upper Middle,1,None,0.0,210.41
23/03/2002 00,2,1BHK,23.11,3nwOQ,-66.0,1.46,Middle,1,None,1.0,152.33
23/03/2002 08,4,2BHK,30.92,42.85,2.74,1.43,Upper Middle,0,None,0.0,217.51
23/03/2002 16,3,Bungalow,15.59,53.16,2.55,1.4,Upper Middle,1,Jacuzzi,0.0,224.77
24/03/2002 00,5,2BHK,22.81,30.43,1.7,1.1,Middle,0,None,1.0,215.2
24/03/2002 08,5,2BHK,,39.72,1.56,0.89,Upper Middle,0,Fountain,0.0,170.71
24/03/2002 16,3,2BHK,16.85,61.37,1.32,0.85,Middle,0,Garden,0.0,88.29
25/03/2002 00,3,1BHK,31.01,47.48,1.09,1.03,Low,0,None,0.0,103.58
25/03/2002 08,5,2BHK,10.65,60.38,1.2,1.37,Middle,0,None,0.0,177.25
25/03/2002 16,4,2BHK,30.52,54.45,2.69,1.37,Upper Middle,0,Jacuzzi,1.0,276.76
26/03/2002 00,3,1BHK,13.79,42.81,1.46,1.32,Low,0,Fountain,0.0,140.61
26/03/2002 08,3,1BHK,27.37,55.57,1.21,0.97,Middle,1,Swimming Pool,1.0,178.19
26/03/2002 16,3,Cottage,15.0,63.0,1.17,1.29,Middle,0,Garden,1.0,136.75
27/03/2002 00,3,3BHK,17.59,46.23,2.43,0.5696938183854516,Upper Middle,0,Swimming Pool,1.0,222.14
27/03/2002 08,3,Cottage,32.63,50.62,1.65,1.19,Middle,1,None,0.0,154.17
27/03/2002 16,2,Studio,19.56,39.47,1.03,1.07,Low,0,None,0.0,76.5
28/03/2002 00,3,2BHK,34.09,57.71,1.54,0.81,Upper Middle,0,Swimming Pool,0.0,133.59
28/03/2002 08,4,2BHK,23.55,37.47,1.27,1.28,Middle,0,None,0.0,185.83
28/03/2002 16,5,3BHK,34.95,53.62,2.56,1.28,Upper Middle,2,None,0.0,283.49
29/03/2002 00,2,Studio,22.39,53.64,1.69,0.93,Low,0,None,0.0,60.16
29/03/2002 08,3,Detached,22.58,56.87,2.58,1.31,Rich,0,Fountain,0.0,224.66
29/03/2002 16,5,Bungalow,16.77,75.4,2.57,0.93,Rich,0,Garden,0.0,143.74
30/03/2002 00,5,3BHK,30.89,54.56,1.77,0.96,Upper Middle,0,None,0.0,178.29
30/03/2002 08,4,2BHK,29.45,46.89,2.82,1.43,Upper Middle,1,Fountain,1.0,345.37
30/03/2002 16,5,3BHK,10.82,49.08,2.66,1.49,Rich,0,Swimming Pool,0.0,355.92
31/03/2002 00,4,Bungalow,33.81,33.04,2.62,0.91,Upper Middle,0,Fountain,1.0,209.14
31/03/2002 08,5,Bungalow,25.87,>9sW\,1.83,1.26,Rich,0,None,0.0,263.69
31/03/2002 16,5,Detached,31.72,49.64,2.84,1.2,Rich,0,None,0.0,260.3
01/04/2002 00,1,Studio,26.13,32.85,1.3,1.15,Low,1,None,0.0,83.46
